연번,시군,지정구분,기업명,대표자,소  재  지,주생산품,전화번호(061),"비고
(지정번호)"
88,순천시,기술유망,(주)지본코스메틱,박철승,순천시 서면 선평리 253-3,"스크럽제, 바디워시, 샴푸",755-3114,12-10
89,순천시,기술유망,주영STS㈜,김송일,전남 순천 주암 궁각 484-2,플라이애시,752-7700,13-8
90,순천시,기술유망,㈜바이오리쏘스,정승기,전남 순천시 주암면 궁각리 484-3,미생물제품,755-8722,13-9
91,순천시,기술유망,㈜코일렉트로드,고희찬,전남 순천시 해룡면 선월리 907-4,도금용전극,723-8389,13-10
92,순천시,기술유망,㈜금양이앤씨,김기범,전남 순천시 주암면 궁각리 561-9,내마모재,751-4472,13-11
93,순천시,지역특화,㈜엠티에스,안명길,순천시 해룡면 율촌산단3로 66,"컨트롤밸브, 액츄에이터",763-7900,13-12
94,나주시,기술유망,㈜범한,김재청,나주시 운곡동 175-26,농업용난방기,335-7744,11-75
95,나주시,지역특화,가보팜스㈜,김희성,나주시 운곡동 산 52-21,"벌꿀, 유자차",334-1161,11-76
96,나주시,기술유망,㈜유니온카본,오재규,나주시 동수동 76-10,활성탄소,335-3944,11-77
97,나주시,기술유망,㈜미래,"박정환,이시우",나주시 다도면 송학리 122-36,"아스콘,쇄석골재",337-9070,11-78
98,나주시,기술유망,㈜삼성레미콘,고종환,나주시 금천면 원곡리 912,레미콘,331-7002,11-79
99,나주시,기술유망,㈜일성기업,나용철,나주시 반남면 청송리 252,콘크리트,339-2000,11-80
100,나주시,기술유망,㈜광호산업,노진숙,나주시 동수동 332,철근콘크리트,335-0007,11-81
101,나주시,지역특화,㈜우승산업,장경님,나주시 봉황면 와우리 1-6,"배수문,권양기",337-8338,11-82
102,나주시,지역특화,샬롬산업㈜,김정매,나주시 왕곡면 월천리 85-25,"전투식량,즉석식품,
신선처가공식품",335-6906,11-83
103,나주시,수출유망,완도물산,김천일,나주시 남평읍 교원리 690,조미김,337-8751,11-84
104,나주시,기술유망,㈜송광인더스트리,김영신,나주시 산포면 등정리 612-7,형광등 베이스캡,337-5194,11-85
105,나주시,기술유망,㈜광일식품,조문호,나주시 남평읍 서산리 652,"빵,과자",331-1950,11-86
106,나주시,기술유망,대양철망공업사,염세환,나주시 산포면 매성리 1265-2,철망,337-4747,11-87
107,나주시,기술유망,㈜남양호안,김영자,나주시 동수동 318,콘크리트 블록,335-4760,11-88
108,나주시,기술유망,㈜하이옥스,이영례,나주시 동수동 75-29,산업용송풍기,336-0071,11-89
109,나주시,지역특화,㈜삼진지에프,박정수,나주시 금천면 촌곡리 40-10,김치류,331-6663,11-90
110,나주시,수출유망,(주)켐포트,김영주,나주시 동수동 15-1,고도불포화지방산,330-9700,11-91
111,나주시,지역특화,한양식품,김종열,나주시 문평면 옥당리 108,절임식품,335-4651,11-92
112,나주시,기술유망,(주)한성푸드,이태규,나주시 동수동 341-1,오리훈제,333-0880,11-93
113,나주시,지역특화,가바라이스연옹조합법인,김선동,나주시 세지면 성산리 252,발아현미,332-1223,11-94
114,나주시,기술유망,㈜봉황씨원,채영기,나주시 봉황면 와우리 1-25,점토벽돌,332-5574,11-95
115,나주시,지역특화,좋은영농조합법인,이기선,나주시노안면 양천리 31-2,과즙음료,335-9630,12-11
116,나주시,기술유망,㈜자연과미래,박매호,나주시노안면 안산리 880-4 동신대 BI,친환경복합비료,336-9507,12-12
117,나주시,기술유망,나산테크㈜,황인묵,나주시동수동 339,육묘상자,336-7600,12-13
118,나주시,기술유망,㈜엡스코어,장동환,나주시운곡동 239-9,태양광경관등,333-5995,12-14
119,나주시,기술유망,㈜신우콘크리트,이현정,나주시동수 농공단지길 137-18,호안블록,335-0088,12-15
120,나주시,기술유망,태림인더스트리㈜,임은태,나주시 동수 농공단지길 159-10,미생물제조,336-2588,12-16
121,나주시,기술유망,㈜세오,"이형각,김호군",나주시 동수동 76-17,"CCTV, LED",334-3115,13-13
122,나주시,기술유망,㈜건강을지키는사람들,정영식,나주시 동수농공단지길 100-18,"식이섬유, 효소제품",335-8500,13-14
123,나주시,지역특화,㈜대한식품,한윤경,나주시 동수농공단지길 62-18,"누룽지류, 컵케익",337-9411,13-15
124,나주시,수출유망,해송식품,김현선,나주시 산포면 산제리 910,"조미김, 건어물",336-9289,13-16
125,나주시,지역특화,헵시바 F&B,김현수,"나주시 대호동 동신대학교 친환경
농식품산업화센터 101호",건과류식품,330-2827,13-17
126,나주시,기술유망,㈜미주산업,김  용,나주시 동수동 76-24,과일포장재,336-4456,13-18
127,나주시,기술유망,두성기업,김두헌,나주시 평산동 233-1,"문구류,테이프",334-8625,13-19
128,나주시,지역특화,코리아팔도영농조합법인,이미영,나주시 동수농공단지길 160-13,"통오리, 훈제",336-3226,13-20
129,광양시,기술유망,(주)달성,최재원,광양 초남 740-2,산업기계,763-9600,11-96
130,광양시,기술유망,(주)픽슨,정성만,옥곡면 신금리 1507-75,파형강관,1577-5077,11-97
131,광양시,기술유망,한성철강공업(주),윤걸,광양 초남 733-2,칼라 C형강,762-8333,11-98
132,광양시,수출유망,(주)금풍공업,서정현,태인동 1659-2,고지프레스기,792-5566,11-99
133,광양시,기술유망,㈜신영엔지니어링,김복식,옥곡면 원월리 504,수배전반,772-6711,11-100
134,광양시,기술유망,㈜삼우ECO,허기복,광양 초남 739-5,제철설비,763-7770,11-101
135,광양시,기술유망,㈜제철공무,안우정,옥곡면 신금리 1507-43,pe sheet 강판,755-1400,11-102
136,광양시,지역특화,광양청매실농원영농조합법인,홍쌍리,다압 도사 414,청매실,772-4066,11-103
137,광양시,지역특화,(주)삼삼,정해철,진상면 섬거리 97-1,철도신호용품,772-4238,11-104
138,광양시,수출유망,래드믹스코리아(주),이화연,광양읍 직동1길 26,강섬유,772-4314,11-105
139,광양시,지역특화,부국산업(주),남상규,금호동 589,정광분,798-9200,11-106
140,광양시,수출유망,㈜비앤비성원,전성우,광양 초남 740,"스테인리스
강관",797-1110,11-108
141,광양시,기술유망,(주)남광포리마,윤유선,태인동 1655-7,"산업용
고무제품",792-4369,11-109
142,광양시,지역특화,(주)하나테크,임재홍,옥곡 신금 308-2,메탈릭 튜브,772-7781,11-111
143,광양시,기술유망,(주)에스케이디하이테크,한성무,옥곡 신금 1507-44,"롤클리너
스크래퍼",772-7941,11-112
144,광양시,수출유망,디에스알(주),홍석빈,광양 초남 732-2,"스테인리스
와이어",762-8351,11-113
145,광양시,수출유망,협성농산영농조합법인,조상현,다압 도사 140,매실,772-0003,11-114
146,광양시,수출유망,다압매율영농조합법인,서순열,진월 망덕 199-21,매실,772-3289,11-115
147,광양시,기술유망,하이포스(주),임기택,옥곡 신금 301-1,전기판넬,772-9601,11-116
148,광양시,기술유망,(주)만보중공업,이민서,광양읍 익신 682,산업기계,762-0931,11-117
149,광양시,기술유망,현대수기,이진수,옥곡 신금 888,"수문, 밸브",772-7607,11-129
150,광양시,기술유망,광양(주),이규선,태인동 28-120,플레이트류,792-7777,11-119
151,광양시,기술유망,(주)키텍엔지니어링,정재곤,태인동 1693,연소기기,791-4966,11-120
152,광양시,기술유망,(주)케이엔텍,김인환,광영동 720-8,"수질관리자동제어
시스템",794-7861,11-121
153,광양시,기술유망,(주)창조,곽종기,태인동 28-98,산업안전시설물,792-5420,11-122
154,광양시,기술유망,㈜제일시스템,양세영,옥곡 신금 390-1,배전반,772-6380,11-123
155,광양시,기술유망,㈜포스프로,박성식,태인동 1690,기계식사,793-1136,11-124
156,광양시,기술유망,호남석회공업㈜,신홍수,진월 월길 1393-7,단광,772-7851,11-125
157,광양시,기술유망,㈜한성산업,윤걸,광양 초남 733-1,sheet,762-8333,11-126
158,광양시,기술유망,중앙산기㈜,임성기,옥곡 신금 366-7,"screen, 라이너",772-8772,11-127
159,광양시,기술유망,대동중공업㈜,김철헌,광양 초남 739-8,제철설비,762-5000,11-128
160,광양시,기술유망,㈜효석,김효수,광양 금호동 857,철강슬래그,793-7300,11-130
161,광양시,기술유망,㈜그린에스엔티,이경춘,광양 광영동 834-5,안전표지판,791-3863,11-131
162,광양시,기술유망,㈜후상,이상열,광양읍 초남공단 1길 35,수분입도측정장치,793-5000,11-132
163,광양시,수출유망,㈜포미니시스템,심영포,광양읍 죽림리 55-10,메탈펌프,763-9993,11-133
164,광양시,기술유망,㈜지엔에스티,김학봉,광양 죽림 29,프라스틱,772-5202,11-134
165,광양시,지역특화,㈜비엠씨,백창길,광양 진원면 사평길 61,미생물,794-0002,11-135
166,광양시,기술유망,㈜신강산업,서명심,광양읍 덕례리 301-4,금속판가공,762-2150,11-136
167,광양시,기술유망,에스티엔지㈜,권세찬,광양시 옥곡면 신금리 1507-111,plc,792-4142,12-17
168,광양시,기술유망,한국산업㈜,이재호,광양시 광양읍 초남리 742-1,플랜트 가공,755-4700,12-18
169,광양시,기술유망,㈜삼성플렉스,정구증,광양시 태인동 303-127,부직포,793-2672,12-19
170,광양시,기술유망,대신메탈라이징㈜,박영서,광양시태인동 1657-6,롤러,792-0933,12-20
171,광양시,기술유망,㈜성천,이성재,광양시 태인동 초남리 733,철구조물,772-1080,12-21
172,광양시,기술유망,㈜신성플랜트,라병열,광양시 읍 제철로 182,압력용기,762-9830,12-22
173,광양시,기술유망,한국산기㈜,조사현,광양시 옥곡면 강변로 223,내화물,772-2805,12-24
174,광양시,기술유망,㈜엠티에스코리아,류은상,광양시 옥곡면 신금4단길 16,공작기계 및 자동화설비,795-7505,13-21
175,광양시,기술유망,포스낙주식회사,윤금식,광양시 옥곡면 신금로 254,공작기계 및 자동화설비,793-7059,13-22
176,광양시,기술유망,세신전기㈜,공병화,광양시 안산길 59,산업용브레이크,792-6998,13-23
177,광양시,기술유망,㈜제철세라믹,최원용,광양시 태인3길 80,"특수시멘트, 비료",791-1850,13-24
178,광양시,지역특화,㈜서일하이텍,박종선,광양시 동광길 11,보안용카메라,792-7070,13-25
179,담양군,기술유망,해표산업㈜,고재룡,담양 담양읍 백동리433-5,수산양식 기계,383-6601,11-137
180,담양군,기술유망,㈜신성금형,이기호,담양 무정면 봉안리384-1,타이어 금형,383-6201,11-138
181,담양군,기술유망,㈜우수금속,양희영,담양 고서면 동운리652,탄소강 주강,383-3636,11-139
182,담양군,수출유망,아륭기공㈜,장춘상,담양 금성면 대곡리681-1,펌프,382-4401,11-140
183,담양군,기술유망,대한한옥개발㈜,이명철외1,담양 용면 두장리174-4,천년와,383-0227,11-141
184,담양군,기술유망,한남산업㈜,김은철,담양 무정면 봉안리384-2,강화유리,383-8311,11-142
185,담양군,기술유망,한남복층유리공업㈜,김은철,담양 무정면 봉안리382-1,복층유리,383-6860,11-143
186,담양군,기술유망,호정식품㈜,유영군,담양 창평면 삼천리35-1,한과,383-6446,11-144
187,담양군,기술유망,㈜목림,김기영,담양 금성면 봉서리780,"책상, 캐비닛",381-0056,11-145
188,담양군,기술유망,방산기업㈜,장택수,담양 무정면 동산리420,건축용 목재,381-1610,11-146
189,담양군,기술유망,황토명가,김명희,담양 용면 두장리363,천연염색 침구,382-0019,11-147
190,담양군,기술유망,㈜창원,문국란,담양 대전면 대치리583,플라스틱 창호,383-5463,11-148
191,담양군,기술유망,대현테크㈜,유양환,담양 금성면 원천리193-1,"복공판, 통신주",383-2900,11-149
192,담양군,지역특화,㈜삼점삼소스코,장종숙,담양군 창평면 용수리 301,"김치, 단체급식",382-9998,12-25
193,담양군,기술유망,㈜아이지스,안상만,담양군 금성면 봉서리 763,오토씰링 로봇,383-7338,12-27
194,담양군,지역특화,㈜제일판지산업,오성진,담양군 금성면 봉서리 779,골판지 상자,381-1997,12-28
195,담양군,기술유망,삼호콘크리트㈜,신을호,담양군 금성면 담순로 463,콘크리트암거블럭,371-3535,13-26
196,곡성군,기술유망,삼광철강공업㈜,선광휴,곡성군 석곡면 연반리,칼라C형강    데크플레이트,363-7500,11-150
197,곡성군,기술유망,㈜더블유원,한재석,곡성 석곡,차량용 LPG연료탱크,363-0459,11-151
198,곡성군,기술유망,광성수출포장㈜,김재문,곡성군 석곡면 연반리 703-3,골판지박스,363-3996,11-152
199,곡성군,기술유망,㈜부성리싸이클링,김성제,곡성군 석곡면연반리농공길4,고무제품,363-805,11-153
200,곡성군,기술유망,㈜미실란,이동현,곡성군.읍 장선리,친환경곡류외 곡류가공품,070-8290-0310,11-155
201,곡성군,수출유망,(유)케이테크코리아,이흥주,곡성군 곡성읍 곡성로235,금속구조물,363-2733,12-29
202,구례군,기술유망,㈜한성산업,이정숙,구례군 광의면 지천리 437-1,잔디블럭,782-3651,11-157
203,구례군,기술유망,성호산업㈜,하성호,구례군 간전면 간문리 627-5,벤취플룸,781-7001,11-158
204,구례군,기술유망,신강하이텍㈜,조성주,구례군 간전면 간문리 625-2,무수축그라우트,781-3720,11-159
205,구례군,기술유망,동부요업㈜,박문환,구례군 간전면 간문리 623-2,한식기와,781-0987,11-160
206,구례군,기술유망,"도울바이오푸드
영농조합법인",정진옥,구례군 광의면 방광리 715-2,친환경곡물가공식품,781-4887,11-161
207,구례군,기술유망,구례레미콘주식회사,김윤중,구례군 간전면 간문리 627-2,레미콘,781-8100,11-162
208,구례군,지역특화,광의면특품사업단 우리밀가공공장,최성호,구례군 광의면 구만리 252-1,우리밀가루,781-3036,11-156
209,구례군,수출유망,그리올푸드영농조합,이종현,구례군 간전면 거석길 71,농산물,783-3388,12-30
210,고흥군,기술유망,㈜효경,최인효,고흥군 동강면 장덕리 815,발포플라스틱,834-5560,11-163
211,고흥군,수출유망,해도물산㈜,백영식,고흥군 도화면 가화리 920,멸치가공품,833-5888,11-164
212,고흥군,기술유망,햇고을영농조합법인,김연수,고흥군 도덕면 봉덕리 420-2,깐마늘등,842-8282,11-165
213,고흥군,기술유망,㈜한일,한안석,고흥군 도양읍 용정리 2227,FRP선박,844-6336,11-166
214,고흥군,기술유망,㈜우리기업,김정심,고흥군 풍양면 풍남로 33-23,"수문, 금속구조물",833-7904,12-31
215,고흥군,기술유망,㈜죽암기계,"김종욱
차기원",고흥군 동강면 죽암로 281-19,농업용기계,830-0700,13-27
216,보성군,수출유망,㈜보성글러브,박호성,보성군 미력면 도개리 961-1,"면장갑, 코팅장갑",853-9922,11-167
217,보성군,수출유망,혜정농원영농조합법인,이승아,보성군 웅치면 봉산리 607-8,어성초엑기스,853-3139,11-168
218,보성군,수출유망,보성녹차식품개발원,김영애,보성군 웅치면 중산리 236,"녹차, 녹차한과",853-1199,11-169
219,보성군,기술유망,보성포리테크㈜,김성식,보성군 벌교읍 연산리 529-39,"pe수도관, 하수도관",857-9900,11-170
220,보성군,기술유망,㈜성화,정명일,보성군 벌교읍 연산리 606,"수도용 상토, 원예용 상토",858-2131,11-171
221,보성군,기술유망,제석기업㈜,김정래,보성군 벌교읍 장좌리 53,레미콘,858-8000,11-172
222,보성군,기술유망,동원철강㈜,강해영,보성군 미력면 도개리 960-1,"파형강관, 표면처리강",852-9988,11-173
223,보성군,기술유망,다인환경테크㈜,이철환,보성군 미력면 도개리 958-1,"오수처리시설, 단독정화조",852-1888,11-174
224,보성군,기술유망,㈜호남유화,이동윤,보성군 미력면 도개리 963-2,유화아스팔트,852-9744,11-175
225,보성군,지역특화,㈜벌교농산,박호배,보성군 벌교읍 봉림리 1-1,쌀,857-6000,11-176
226,보성군,지역특화,㈜보성티엔티,임화춘,보성군 미력면 도개리 953-1,"녹차티백, 잎녹차",853-3000,11-177
227,보성군,지역특화,보성녹차영농조합법인,임화춘,보성군 미력면 도개리762-6,"차음료, 기타음료",853-4114,11-178
228,화순군,기술유망,㈜대호중공업,권경섭,동면 동농공길 12,펌프,371-1104,11-179
229,화순군,기술유망,한국인스팜㈜,오규철,동면 동농공길 17,의약품 기능성식품,371-3000,11-180
230,화순군,지역특화,㈜경동,강병영,동면 동농공길 71,타올,373-9888,11-181
231,화순군,기술유망,㈜이노탑,유진종,동면 동농공길 49,알루미늄창호,373-6920,11-182
232,화순군,기술유망,우림스틸산업㈜,이병우,도곡면 유신동길 17-20,스틸파레트,373-2500,11-183
